"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"1452","Tiny and Big: Grandpa's Leftovers","Indie",NA,NA,2311,3483,309
"1453","Cerdocornio","Action","Adventure","Casual",2309,17,3
"1454","S.T.A.L.K.E.R.: Shadow of Chernobyl","Action","RPG",NA,2308,11039,570
"1455","Kynseed","Indie","RPG","Simulation",2304,319,41
"1456","Anoxemia","Adventure","Casual","Indie",2299,242,128
"1457","Strange Night","Indie",NA,NA,2299,61,49
"1458","IACTURA","Action","Indie",NA,2296,20,10
"1459","EM: Shader Attack","Indie",NA,NA,2294,141,30
"1460","Grand Pigeon's Duty","Action","Adventure","Casual",2292,404,102
"1461","Barro","Casual","Indie","Racing",2291,177,66
"1462","Crypt of the NecroDancer","Action","Indie","RPG",2282,14162,533
"1463","Runestone Keeper","Casual","Indie","RPG",2280,1924,328
"1464","GUNS UP!","Action","Casual","Free to Play",2277,1637,940
"1465","Street Racing Syndicate","Racing",NA,NA,2270,1886,420
"1466","Hobo: Tough Life","Adventure","Indie","RPG",2254,568,280
"1467","The Sun Never Sets","RPG",NA,NA,2245,11,3
"1468","AXYOS","Action","Indie","Massively Multiplayer",2243,1071,1007
"1469","Crysis","Action",NA,NA,2237,6075,1277
"1470","NosTale","Action","Adventure","Free to Play",2237,706,316
"1471","Enforcer: Police Crime Action","Action","Adventure","Simulation",2231,1028,1119
"1472","War for the Overworld","Indie","Simulation","Strategy",2227,3948,753
"1473","King's Bounty: Warriors of the North","RPG","Strategy",NA,2219,727,156
"1474","Masked Shooters 2","Action","Indie",NA,2215,1041,451
"1475","Nidhogg","Action","Indie","Sports",2215,5480,758
"1476","Medieval Defenders","Casual","Strategy",NA,2214,56,90
"1477","Overdungeon","Casual","Indie","RPG",2205,610,94
"1478","Bloodbath Kavkaz","Action","Adventure","Indie",2201,2087,997
"1479","Cards of Cthulhu","Action","Indie","RPG",2197,54,32
"1480","Slash It","Action","Casual","Indie",2196,814,84
"1481","Project Pulsation","Action","Adventure",NA,2195,56,85
"1482","Fort Defense","Adventure","Casual","Indie",2193,144,59
"1483","Attack on Titan / A.O.T. Wings of Freedom","Action",NA,NA,2191,2501,479
"1484","Rogue Agent","Casual","Free to Play","Indie",2191,70,19
"1485","The Adventurer - Episode 1: Beginning of the End","Adventure","Casual","Indie",2191,42,60
"1486","LEGO® Batman™ 3: Beyond Gotham","Action","Adventure",NA,2186,2269,375
"1487","The Archetype","Adventure",NA,NA,2183,24,27
"1488","BlackShot: Mercenary Warfare FPS","Action","Casual","Free to Play",2182,1258,1182
"1489","DISSIDIA FINAL FANTASY NT Free Edition","Action","Free to Play",NA,2182,620,1005
"1490","Dead Rising 4","Action",NA,NA,2178,1320,1512
"1491","Hand of Fate","Action","Indie","RPG",2178,8045,794
"1492","Great Hero's Beard","Adventure","Casual","Indie",2175,538,86
"1493","VVVVVV","Action","Indie",NA,2174,6719,268
"1494","Order of Battle: World War II","Free to Play","Simulation","Strategy",2171,801,350
"1495","Tap Tap Infinity","Action","Casual","Free to Play",2166,632,219
"1496","Aura Kingdom","Adventure","Casual","Free to Play",2165,5666,1533
"1497","ZRoll","Action","Adventure","Casual",2165,62,38
"1498","Ticket to Ride","Casual","Indie","Strategy",2164,1476,283
"1499","Humanity Asset","Action","Indie",NA,2158,148,314
"1500","Stream Avatars","Animation & Modeling","Audio Production","Design & Illustration",2158,101,8
"1501","Savage Lands","Action","Adventure","Indie",2157,3196,2613
"1502","Frozen Synapse","Indie","Strategy",NA,2155,1990,430
"1503","Guns of Icarus Alliance","Action","Adventure","Indie",2142,625,211
"1504","Trailmakers","Action","Adventure","Indie",2132,990,308
"1505","Dear RED - Extended","Indie","RPG",NA,2130,184,90
"1506","Little Inferno","Adventure","Casual","Indie",2129,6403,459
"1507","The Prism","Adventure","Indie","Strategy",2129,17,7
"1508","Despair","Action","Adventure","Indie",2128,671,1245
"1509","Freeman: Guerrilla Warfare","Action","Indie","RPG",2127,4623,860
"1510","Planet Explorers","Action","Adventure","Indie",2125,3847,1729
"1511","Syberia 3","Adventure",NA,NA,2124,800,822
"1512","Pikuniku","Action","Adventure","Casual",2123,244,17
"1513","Hyposphere","Casual","Indie",NA,2120,92,75
"1514","Supreme Commander: Forged Alliance","Strategy",NA,NA,2113,4969,174
"1515","LEGO® MARVEL's Avengers","Action","Adventure",NA,2112,1898,384
"1516","Candy Blast","Casual","Indie",NA,2108,46,46
"1517","DEAD OR ALIVE 6","Action",NA,NA,2107,1454,836
"1518","Sally Face","Adventure","Indie",NA,2107,1832,63
"1519","Mini Metro","Indie","Simulation","Strategy",2104,7464,288
"1520","AdventureQuest 3D","Action","Adventure","Free to Play",2098,2699,1115
"1521","Dear Esther: Landmark Edition","Adventure","Casual","Indie",2097,630,201
"1522","Spacelords","Action","Adventure","Casual",2093,1170,1209
"1523","Cities XXL","Simulation",NA,NA,2092,575,1286
"1524","Worms Clan Wars","Strategy",NA,NA,2092,1730,556
"1525","Closers","Action","Free to Play","Massively Multiplayer",2091,2061,734
"1526","Book of Demons","Action","Adventure","Casual",2083,5312,389
"1527","Heroine's Quest: The Herald of Ragnarok","Adventure","Free to Play","Indie",2078,875,125
"1528","Fishing: Barents Sea","Simulation",NA,NA,2075,763,300
"1529","Gnumz: Masters of Defense","Casual","Strategy",NA,2074,76,29
"1530","Spellstone","Adventure","Free to Play","RPG",2072,204,112
"1531","Jet Set Radio","Action",NA,NA,2065,3398,631
"1532","March of Empires","Free to Play","Massively Multiplayer","RPG",2061,163,135
"1533","Sonic Forces","Action","Adventure",NA,2058,2156,1045
"1534","The Uncertain: Last Quiet Day","Adventure","Indie",NA,2058,1046,256
"1535","Coma: Mortuary","Adventure","Indie",NA,2057,480,415
"1536","Gnomoria","Indie","Simulation","Strategy",2050,2509,698
"1537","Metamorfose S","Action","Adventure","Indie",2050,47,13
"1538","Botology","Action","Indie",NA,2048,79,209
"1539","World of Goo","Indie",NA,NA,2045,3455,237
"1540","Door Kickers","Action","Indie","Simulation",2041,5834,349
"1541","Rogue Port - Blue Nightmare","Action","Adventure","Indie",2041,7,5
"1542","Move or Die","Action","Indie",NA,2038,8633,1245
"1543","Rise of the Triad","Action",NA,NA,2035,1436,673
"1544","Anomaly Defenders","Action","Indie","Strategy",2032,220,56
"1545","BRAIN / OUT","Action","Free to Play","Indie",2032,8343,2112
"1546","Batman: The Enemy Within - The Telltale Series","Adventure",NA,NA,2029,2206,351
"1547","Kingdom Rush","Action","Indie","Strategy",2022,5101,182
"1548","Brothers - A Tale of Two Sons","Action","Adventure","Indie",2019,31689,1708
"1549","The Legend of Heroes: Trails in the Sky","RPG",NA,NA,2014,3413,318
"1550","Bully: Scholarship Edition","Action","Adventure",NA,2010,8504,1764
"1551","Deadfall Adventures","Action","Adventure",NA,2010,1474,572
"1552","Aircraft War X","Action","Indie","Simulation",2001,273,231
"1553","Kingdom Rush Origins","Indie","Strategy",NA,2000,1116,76
"1554",".hack//G.U. Last Recode","RPG",NA,NA,1989,1138,159
"1555","Black Sand Drift","Casual","Indie",NA,1989,131,55
"1556","Magicite","Action","Adventure","Indie",1985,5488,936
"1557","Startup Company","Casual","Indie","Simulation",1984,1826,525
"1558","Pixel Puzzles 2: Birds","Casual","Indie","Simulation",1983,177,52
"1559","Beholder 2","Adventure","Indie","Simulation",1981,987,190
"1560","Lamp Head","Adventure","Casual","Indie",1981,58,24
"1561","Sacred 3","Action","RPG",NA,1981,954,2861
"1562","Chicken Labyrinth Puzzles","Casual","Indie",NA,1980,86,45
"1563","Tooth and Tail","Action","Casual","Indie",1975,1989,567
"1564","GUILTY GEAR Xrd -SIGN-","Action",NA,NA,1971,1900,153
"1565","SUPER DRAGON BALL HEROES WORLD MISSION","Strategy",NA,NA,1970,301,52
"1566","QuestRun","RPG",NA,NA,1968,419,355
"1567","The Pirate: Caribbean Hunt","Action","Adventure","Free to Play",1968,2253,581
"1568","Millennium - A New Hope","Adventure","Casual","Indie",1967,231,77
"1569","Sparkle 3 Genesis","Action","Casual","Indie",1964,288,171
"1570","Life is Feudal: Forest Village","Indie","Simulation","Strategy",1962,2053,1168
"1571","SpaceChem","Indie","Simulation",NA,1962,3700,324
"1572","Space Farmers","Action","Indie",NA,1961,1288,445
"1573","Wurm Unlimited","Adventure","Indie","RPG",1958,1498,652
"1574","Katy and Bob: Safari Cafe","Casual","Strategy",NA,1957,36,6
"1575","Strange Brigade","Action","Adventure",NA,1956,1329,388
"1576","Tower Wars","Action","Indie","Strategy",1956,1176,433
"1577","911 Operator","Casual","Indie","Simulation",1955,3529,697
"1578","Descenders","Action","Racing","Sports",1954,666,62
"1579","Pathway","Adventure","Indie","RPG",1952,397,233
"1580","Head Goal: Soccer Online","Action","Free to Play","Sports",1951,272,81
"1581","Blood Bowl: Chaos Edition","Sports","Strategy",NA,1945,1108,277
"1582","Fairy Fencer F","RPG",NA,NA,1945,1997,208
"1583","Clone Drone in the Danger Zone","Action","Indie","Early Access",1944,1882,108
"1584","Juicy Realm","Action","Adventure","Casual",1944,494,154
"1585","HELLION","Action","Indie","Massively Multiplayer",1941,1566,779
"1586","LET IT DIE","Action","Free to Play",NA,1939,1377,677
"1587","Toukiden 2","Action",NA,NA,1938,800,206
"1588","Plantera","Casual","Indie","Simulation",1937,3709,485
"1589","Arma 2","Action","Simulation","Strategy",1935,1728,357
"1590","Anomaly Korea","Action","Strategy",NA,1932,433,113
"1591","Lethal League","Action","Indie","Sports",1929,5196,346
"1592","Painkiller Hell & Damnation","Action",NA,NA,1928,2240,679
"1593","The Banner Saga 2","Indie","RPG","Strategy",1924,1670,172
"1594","One Finger Death Punch","Action","Casual","Indie",1921,14181,256
"1595","Mount & Blade","Indie","RPG",NA,1918,3205,291
"1596","Obduction","Adventure","Indie",NA,1915,1807,449
"1597","Zero Escape: Zero Time Dilemma","Adventure",NA,NA,1914,1382,128
"1598","Toy Soldiers","Action","Casual","Simulation",1912,1032,108
"1599","Everlasting Summer","Adventure","Casual","Free to Play",1907,31230,1538
"1600","Felix Jumpman","Action","Casual","Indie",1904,17,24
"1601","Team Fortress Classic","Action",NA,NA,1897,3318,633
"1602","Super Duper Party Pooper","Casual","Indie","Simulation",1893,304,79
"1603","Star Valor","Action","Indie","RPG",1891,132,10
"1604","Pure Farming 2018","Simulation",NA,NA,1890,637,309
"1605","Do Not Feed the Monkeys","Indie","Simulation","Strategy",1888,1333,107
"1606","Fearless Fantasy","Action","Adventure","Casual",1886,388,100
"1607","FEMINAZI: The Triggering","Action","Casual","Indie",1882,918,196
"1608","河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon)","RPG","Simulation",NA,1877,851,593
"1609","Labyronia RPG 2","Action","Adventure","Indie",1876,391,129
"1610","Injustice™ 2","Action",NA,NA,1873,3673,938
"1611","Cube Runner","Action","Casual","Indie",1871,546,72
"1612","Danganronpa 2: Goodbye Despair","Adventure",NA,NA,1869,4677,148
"1613","Vainglory","Free to Play","Strategy","Early Access",1866,1211,739
"1614","Labyronia RPG","Action","Adventure","Indie",1856,771,290
"1615","Intralism","Action","Casual","Indie",1854,1839,260
"1616","Stonehearth","Indie","Simulation","Strategy",1851,5242,1719
"1617","The Village","Action","Casual","Indie",1847,8,10
"1618","Russian SuperHero Dead Ivan","Casual","Indie",NA,1842,94,101
"1619","Grimind","Action","Adventure","Indie",1838,163,78
"1620","Cube Escape: Paradox","Adventure","Indie",NA,1837,1578,53
"1621","Hired Ops","Action","Early Access",NA,1835,1201,1001
"1622","Hillbilly Apocalypse","Action","Indie",NA,1822,3,2
"1623","PickCrafter","Casual","Free to Play","Simulation",1820,1041,268
"1624","Octodad: Dadliest Catch","Action","Adventure","Indie",1815,6742,536
"1625","The Chosen Warriors","Action","Adventure","Indie",1814,12,5
"1626","Holyday City: Reloaded","Casual","Free to Play","Indie",1813,815,164
"1627","FINAL FANTASY III","RPG",NA,NA,1806,1029,250
"1628","House Party","Adventure","Casual","Indie",1800,3329,593
"1629","NORTH","Adventure","Indie",NA,1800,243,124
"1630","Football Manager 2019 Touch","Simulation","Sports",NA,1792,66,38
"1631","Fell Seal: Arbiter's Mark","Indie","RPG","Strategy",1791,410,32
"1632","Shortest Trip to Earth","Action","Adventure","Indie",1786,156,36
"1633","Cities in Motion 2","Simulation","Strategy",NA,1783,1130,873
"1634","ISLANDERS","Casual","Indie","Strategy",1783,1490,77
"1635","Zup! Zero 2","Casual","Indie",NA,1783,250,18
"1636","古剑奇谭(GuJian)","RPG",NA,NA,1782,825,282
"1637","Hold your houses","Violent","Action","Strategy",1776,10,14
"1638","NeverEnd","Adventure","Indie",NA,1775,53,41
"1639","rFactor 2","Racing","Simulation","Sports",1769,1057,227
"1640","Keep Talking and Nobody Explodes","Indie",NA,NA,1767,5745,115
"1641","CryptoMoneya","Casual","Indie",NA,1765,43,36
"1642","Clicker Guild","Free to Play",NA,NA,1761,299,253
"1643","Crashlands","Action","Adventure","Indie",1761,1711,267
"1644","Mistwood Heroes","Action","Adventure","Casual",1760,20,13
"1645","Agent Awesome","Strategy",NA,NA,1759,474,276
"1646","Simple Ball: Extended Edition","Casual","Indie",NA,1758,58,16
"1647","Pixel Puzzles 2: Space","Casual","Indie","Simulation",1753,211,27
"1648","F1 2011","Racing","Simulation","Sports",1747,232,108
"1649","Bridge Constructor Portal","Simulation","Strategy",NA,1745,1701,189
"1650","Thea: The Awakening","Indie","RPG","Strategy",1742,2533,264
"1651","Stack","Casual","Indie","Strategy",1741,1,1
"1652","Aven Colony","Indie","Simulation","Strategy",1738,661,241
"1653","Street Fighter 30th Anniversary Collection","Action",NA,NA,1735,442,304
"1654","Neon Space","Action","Adventure","Casual",1726,314,81
"1655","Etherium","Strategy",NA,NA,1725,321,509
"1656","Five Nights at Freddy's 2","Indie",NA,NA,1725,8032,851
"1657","Volcanoids","Action","Simulation","Early Access",1722,296,72
"1658","Heroes of Might & Magic V","Strategy",NA,NA,1720,1258,183
"1659","Gremlins, Inc.","Indie","Strategy",NA,1716,3232,550
"1660","Merchants of Kaidan","Adventure","Indie","RPG",1716,297,142
"1661","Survive the Nights","Violent","Gore","Action",1716,629,723
"1662","The Incredible Adventures of Van Helsing II","Action","Adventure","Indie",1714,1233,611
"1663","Aragami","Action","Adventure","Indie",1713,3815,458
"1664","BitMaster","Action","Indie",NA,1713,119,48
"1665","Guild Quest","Casual","Free to Play","Indie",1713,1089,451
"1666","Tinboy","Casual","Indie",NA,1713,270,163
"1667","Fire Pro Wrestling World","Simulation","Sports",NA,1712,1105,159
"1668","Dreamfall Chapters","Adventure","Indie",NA,1711,2829,562
"1669","Drunken Fight Simulator","Action","Indie","Early Access",1707,15,11
"1670","Overlord II","RPG",NA,NA,1702,2116,306
"1671","Sixtieth Kilometer","Adventure","Casual","Indie",1700,1045,318
"1672","Guacamelee! Gold Edition","Action","Adventure","Indie",1698,4881,338
"1673","Pizza Connection 3","Simulation","Strategy",NA,1695,266,364
"1674","SweatShop","Casual","Indie","Strategy",1694,177,200
"1675","Alice's Patchwork","Casual",NA,NA,1690,98,19
"1676","The Legend of Heroes: Trails of Cold Steel II","RPG",NA,NA,1689,872,36
"1677","Finnish Roller","Action","Adventure","Casual",1688,28,49
"1678","Hell Girls","Adventure","Indie","RPG",1688,2769,299
"1679","Deadlight","Action","Adventure","Indie",1678,8981,2298
"1680","Ultimate General: Civil War","Indie","Simulation","Strategy",1678,2461,407
"1681","Five Nights at Freddy's 4","Action","Indie","Strategy",1675,6348,507
"1682","Teddy Floppy Ear - The Race","Indie","Racing","Simulation",1675,632,192
"1683","Friday the 13th: Killer Puzzle","Violent","Gore","Casual",1674,2917,188
"1684","GROUND BRANCH","Action","Indie","Early Access",1674,599,143
"1685","Avenger Bird","Adventure","Casual","Indie",1670,9,6
"1686","Elementary My Dear Majesty!","Casual",NA,NA,1670,99,43
"1687","Mountain","Casual","Indie","RPG",1667,10936,1516
"1688","Terraforming Mars","Strategy",NA,NA,1667,208,213
"1689","Cities XL Platinum","Simulation",NA,NA,1665,771,584
"1690","Fireflies","Adventure","Indie",NA,1665,9,32
"1691","Fireflies","Action","Adventure","Casual",1665,9,4
"1692","WWE 2K17","Violent","Simulation","Sports",1663,793,537
"1693","Crea","Action","Adventure","Indie",1662,792,194
"1694","River City Ransom: Underground","Action","Indie","RPG",1659,1285,425
"1695","12 Labours of Hercules II: The Cretan Bull","Casual","Strategy",NA,1655,1650,188
"1696","Galactic Landing","Action","Casual","Indie",1653,16,8
"1697","Cat Quest","Action","Adventure","Indie",1651,2398,103
"1698","No Time to Relax","Casual","Indie","Simulation",1649,44,2
"1699","SharpShooter3D","Action","Adventure","Indie",1649,457,62
"1700","Retention","Adventure","Casual","Indie",1642,218,438
"1701","HYPERCHARGE: Unboxed","Action","Adventure","Casual",1641,137,19
"1702","The End Is Nigh","Action","Adventure","Indie",1641,1413,102
"1703","Fighters Unleashed","Action","Adventure","Indie",1640,2,12
"1704","Gnomes Garden","Casual","Strategy",NA,1639,84,11
"1705","Styx: Master of Shadows","Action",NA,NA,1639,4506,962
"1706","Day D: Tower Rush","Casual","Indie","Strategy",1632,80,28
"1707","Darkness Assault","Violent","Gore","Action",1631,201,255
"1708","Batla","Action","Free to Play",NA,1629,1684,1180
"1709","The Legend of Heroes: Trails of Cold Steel","RPG",NA,NA,1628,2030,92
"1710","Yu-Gi-Oh! Legacy of the Duelist","Simulation",NA,NA,1627,1855,368
"1711","Football Manager Touch 2018","Simulation","Sports",NA,1622,75,54
"1712","Mashinky","Indie","Simulation","Strategy",1622,1065,152
"1713","Xenonauts","Indie","Simulation","Strategy",1619,2497,337
"1714","Fields XY","Indie",NA,NA,1616,25,4
"1715","Pixel Puzzles Mosaics","Casual","Indie","Simulation",1612,18,3
"1716","Reigns","Adventure","Indie","RPG",1612,4939,579
"1717","EverQuest II","Free to Play","Massively Multiplayer","RPG",1611,846,319
"1718","It's Spring Again","Casual","Indie",NA,1611,559,53
"1719","Weedcraft Inc","Indie","Simulation","Strategy",1609,234,77
"1720","Liveza: Death of the Earth","Adventure","Indie",NA,1607,82,55
"1721","Weapon Shop Fantasy","Adventure","Casual","Indie",1607,868,220
"1722","Alpacapaca Dash","Casual","Indie",NA,1606,99,12
"1723","Tower Unite","Action","Adventure","Casual",1603,5275,968
"1724","GemCraft - Chasing Shadows","Action","Indie","Strategy",1601,2179,88
"1725","SkyTime","Action","Casual","Indie",1600,84,67
"1726","King of Dragon Pass","RPG","Strategy",NA,1599,214,57
"1727","Bulletstorm: Full Clip Edition","Nudity","Violent","Gore",1598,1347,285
"1728","ASSASSINATION BOX","Action","Indie",NA,1597,36,69
"1729","Territory Idle","Free to Play","Indie","Strategy",1597,68,19
"1730","World of Guns: Gun Disassembly","Free to Play","Indie","Simulation",1597,11178,2300
"1731","Just Hero","Casual","Indie",NA,1591,126,119
"1732","hack_me","Indie","Simulation",NA,1589,1277,789
"1733","Cadria Item Shop","Casual","Free to Play","Indie",1586,269,101
"1734","Out of the Park Baseball 18","Indie","Simulation","Sports",1586,599,48
"1735","Sniper: Ghost Warrior","Action",NA,NA,1586,2143,1728
"1736","Mobile Empire","Casual","Indie","Simulation",1584,587,269
"1737","ABO MANDO","Action","Adventure","Indie",1575,18,47
"1738","Katana ZERO","Action","Indie",NA,1575,1848,44
"1739","VA-11 Hall-A: Cyberpunk Bartender Action","Adventure","Indie","Simulation",1574,12348,294
"1740","Castle Story","Indie","Strategy",NA,1565,2711,2361
"1741","POBEDA","Action","Casual","Indie",1564,36,31
"1742","Gems of the Aztecs","Casual",NA,NA,1563,73,34
"1743","Cook, Serve, Delicious!","Action","Indie","Simulation",1560,4232,235
"1744","Way of the Samurai 4","Action","Adventure",NA,1557,927,248
"1745","Mighty No. 9","Action",NA,NA,1556,1367,1389
"1746","Shenmue I & II","Action","Adventure","RPG",1554,732,65
"1747","King’s Bounty: Legions","Adventure","Free to Play","Indie",1552,617,577
"1748","Hearts of Iron III","Strategy",NA,NA,1551,3298,992
"1749","Mad Digger","Casual","Indie","Simulation",1550,30,16
"1750","Idle Wizard","Casual","Free to Play",NA,1544,108,26
"1751","12 Labours of Hercules","Casual","Strategy",NA,1535,2391,156
"1752","Coloring Pixels","Casual","Free to Play","Indie",1535,1154,45
"1753","Baba Is You","Indie",NA,NA,1533,1300,26
"1754","Cook, Serve, Delicious! 2!!","Action","Indie","Simulation",1532,1368,194
"1755","Happy Room","Action","Indie","Simulation",1530,900,188
"1756","RAID: World War II","Violent","Gore","Action",1530,888,806
"1757","SAS: Zombie Assault 4","Action","Free to Play","RPG",1530,2086,501
"1758","Desktop Dungeons","Adventure","Casual","Indie",1528,1056,104
"1759","Subsistence","Action","Early Access",NA,1527,2680,1130
"1760","Viscera Cleanup Detail","Indie","Simulation",NA,1526,6753,580
"1761","BIGFOOT","Adventure","Indie","Early Access",1525,1856,866
"1762","Out of the Park Baseball 19","Indie","Simulation","Sports",1525,494,94
"1763","懒人修仙传","Casual","Indie","RPG",1522,404,164
"1764","The Shadowland","Adventure","Indie",NA,1513,19,12
"1765","Tap Heroes","Action","Adventure","Casual",1511,887,294
"1766","Monster Prom","Indie","Simulation",NA,1510,2101,274
"1767","Lucius","Violent","Gore","Action",1509,5775,1400
"1768","Red Faction Guerrilla Re-Mars-tered","Gore",NA,NA,1509,1072,318
"1769","Learn to Fly 3","Action","Casual","Free to Play",1506,1921,270
"1770","Approaching Blocks","Casual","Indie",NA,1501,167,89
"1771","Bit Blaster XL","Action","Casual","Indie",1501,5221,145
"1772","Grim Fandango Remastered","Adventure",NA,NA,1500,4129,471
"1773","Peekaboo","Action","Casual","Indie",1499,59,3
"1774","One Troll Army","Casual","Indie","Strategy",1498,936,169
"1775","WWE 2K19","Simulation","Sports",NA,1496,648,446
"1776","BattleTrucks","Action","Casual","Indie",1495,8,9
"1777","I am Setsuna","RPG",NA,NA,1493,848,310
"1778","GOD EATER 2 Rage Burst","Action","RPG",NA,1491,2576,738
"1779","Men of War: Assault Squad","Strategy",NA,NA,1490,2881,416
"1780","Colony Survival","Action","Adventure","Indie",1488,1783,313
"1781","Space Run","Indie","Strategy",NA,1488,1474,232
"1782","Stationeers","Action","Indie","Simulation",1485,1372,287
"1783","InfiniPicross","Casual","Indie",NA,1484,110,37
"1784","The Culling Of The Cows","Action","Casual","Indie",1483,2400,837
"1785","PhysDrive","Action","Indie","Racing",1481,23,31
"1786","Hentai Memory","Casual","Indie",NA,1477,611,62
"1787","Dungeons","RPG","Strategy",NA,1475,214,266
"1788","ArcaniA","RPG",NA,NA,1474,735,763
"1789","Rise to Ruins","Indie","Simulation","Strategy",1469,2850,279
"1790","TrackMania Nations Forever","Racing",NA,NA,1466,8252,1244
"1791","Through Abandoned: The Forest","Adventure","Indie",NA,1465,60,6
"1792","We Are The Dwarves","Action","Adventure","Indie",1464,570,230
"1793","東方憑依華　～ Antinomy of Common Flowers.","Action","Indie",NA,1463,1286,135
"1794","Dark Deception","Action","Adventure","Indie",1461,961,118
"1795","SteamWorld Dig","Action","Adventure","Indie",1459,4095,311
"1796","Oddworld: New 'n' Tasty","Action","Adventure","Indie",1457,2020,284
"1797","EVERSPACE™","Action","Indie",NA,1448,4061,1087
"1798","Barony","Action","Adventure","Indie",1447,1244,151
"1799","Hero Zero","Adventure","Casual","Free to Play",1447,1336,428
"1800","Run Away","Action","Adventure","Casual",1447,1,0
"1801","Out of the Park Baseball 20","Indie","Simulation","Sports",1445,144,11
"1802","Alien Shooter 2: Reloaded","Action","Indie","RPG",1444,995,84
"1803","Moonbase Alpha","Adventure","Simulation","Strategy",1443,9867,1166
"1804","The Vanishing of Ethan Carter","Adventure","Indie",NA,1443,6917,849
"1805","X3: Terran Conflict","Action","Simulation","Strategy",1442,1633,272
"1806","Snik","Casual","Indie",NA,1440,58,39
"1807","Them's Fightin' Herds","Action","Indie","Early Access",1436,998,97
"1808","Mad Games Tycoon","Casual","Indie","Simulation",1434,3211,362
"1809","Teleglitch: Die More Edition","Action","Indie",NA,1431,2158,361
"1810","The Banner Saga 3","Indie","RPG","Strategy",1428,673,161
"1811","Company of Heroes: Opposing Fronts","Action","Strategy",NA,1426,579,52
"1812","Paint the Town Red","Action","Indie","Early Access",1423,4752,489
"1813","Heat","Action","Adventure","Indie",1422,617,565
"1814","Intruder","Action","Indie","Simulation",1421,496,66
"1815","Half-Life 2: Episode Two","Action",NA,NA,1419,13902,696
"1816","CS2D","Action","Casual","Free to Play",1418,4875,579
"1817","Serena","Adventure","Indie",NA,1418,4593,1342
"1818","Beans: The Coffee Shop Simulator","Casual","Indie","Simulation",1416,58,23
"1819","Hello Neighbor","Adventure","Indie","Strategy",1414,1531,640
"1820","Tales of Symphonia","RPG",NA,NA,1414,1911,436
"1821","Sheltered","Indie","RPG","Strategy",1413,2998,818
"1822","Blockstorm","Action","Indie",NA,1411,5363,1298
"1823","Frankenstein: Master of Death","Adventure","Casual","Indie",1404,1467,279
"1824","Neos VR","Free to Play","Indie","Animation & Modeling",1404,47,5
"1825","HellAngel","Action","Casual","Indie",1403,174,186
"1826","Supraland","Action","Adventure","Indie",1403,1041,41
"1827","The LEGO® Movie - Videogame","Action","Adventure",NA,1402,1825,374
"1828","Parkitect","Indie","Simulation",NA,1400,1827,173
"1829","The Long Journey Home","Indie","RPG","Simulation",1390,826,437
"1830","Rise of Industry","Indie","Simulation","Strategy",1388,1111,203
"1831","Bloop Reloaded","Casual","Indie","Simulation",1387,205,107
"1832","Risen","RPG",NA,NA,1382,3848,585
"1833","Animation Throwdown: The Quest for Cards","Adventure","Free to Play","RPG",1380,1112,476
"1834","Sword of the Stars II: Enhanced Edition","Strategy",NA,NA,1379,335,448
"1835","Dying Light: Bad Blood","Action","RPG","Early Access",1374,860,351
"1836","BEEP","Adventure","Indie",NA,1373,4036,731
"1837","Iron Snout","Action","Free to Play","Indie",1373,13889,277
"1838","Rock of Ages","Action","Indie","Racing",1371,2604,244
"1839","Puyo Puyo™Tetris®","Action","Casual",NA,1368,1610,379
"1840","Touhou Luna Nights","Action","Adventure","Indie",1368,3199,75
"1841","We Were Here","Action","Adventure","Free to Play",1365,8538,701
"1842","S.T.A.L.K.E.R.: Call of Pripyat","Action","RPG",NA,1359,10172,470
"1843","GRIS","Adventure","Indie",NA,1354,5747,242
"1844","Dead In Vinland","Adventure","Indie","RPG",1353,355,79
"1845","Akin","Casual","Indie",NA,1351,160,25
"1846","The Inevitability","Gore","Adventure","Indie",1350,23,12
"1847","Nimbatus - The Space Drone Constructor","Action","Indie","Simulation",1349,328,60
"1848","Thea 2: The Shattering","Indie","RPG","Strategy",1349,265,60
"1849","Cubic Castles","Action","Adventure","Casual",1348,2981,1176
"1850","16bit Trader","Adventure","Casual","Indie",1345,571,862
"1851","Sid Meier's Pirates!","RPG",NA,NA,1342,2641,193
"1852","Tea Party Simulator 2015™","Action","Indie","Simulation",1339,472,214
"1853","The Room Three","Adventure","Indie",NA,1339,1216,38
"1854","HELLGATE: London","Action","RPG",NA,1336,672,507
"1855","Istrolid","Free to Play","Indie","Strategy",1331,1899,276
"1856","Marble Duel","Casual","Indie",NA,1328,157,79
"1857","Maelstrom","Action","Indie","Massively Multiplayer",1327,640,107
"1858","War of Rights","Action","Indie","Simulation",1327,1212,319
"1859","Hentai Waifu","Casual","Indie",NA,1324,33,1
"1860","The Incredible Adventures of Van Helsing: Final Cut","Action","Adventure","Indie",1322,1190,457
"1861","Owlboy","Action","Adventure","Indie",1317,3542,555
"1862","Bulby - Diamond Course","Adventure","Indie",NA,1316,14,12
"1863","Five Nights at Freddy's","Indie","Simulation",NA,1316,15784,2179
"1864","Darkwood","Nudity","Violent","Gore",1315,3856,238
"1865","A Bird Story","Adventure","Indie","RPG",1313,5987,1147
