"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"528","Pirates Deck","Casual","Indie","Strategy",7332,6,28
"529","Homeworld: Deserts of Kharak","Strategy",NA,NA,7326,2734,743
"530","A Hat in Time","Adventure","Indie",NA,7312,14019,292
"531","MapleStory","Casual","Free to Play","Massively Multiplayer",7298,3629,1711
"532","Forts","Action","Strategy",NA,7280,2073,549
"533","Shadowrun: Hong Kong - Extended Edition","Adventure","Indie","RPG",7260,2235,380
"534","Satellite Reign","Action","Indie","Strategy",7251,2615,1195
"535","Amnesia: A Machine for Pigs","Action","Adventure","Indie",7249,4336,2143
"536","Forward to the Sky","Action","Adventure","Casual",7227,1425,284
"537","Assetto Corsa Competizione","Racing","Simulation","Sports",7223,1744,278
"538","Slime Rancher","Action","Adventure","Indie",7214,24205,965
"539","Homefront","Action",NA,NA,7206,5506,3685
"540","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","Action","Adventure",NA,7185,17336,3456
"541","Dark Project","Adventure","Indie",NA,7172,35,31
"542","Black Mesa","Action","Adventure","Indie",7158,14113,999
"543","Rec Room","Action","Adventure","Casual",7154,3431,225
"544","Lord of the Dark Castle","Adventure","Casual","Indie",7137,15,9
"545","3D ParticleGen Visual FX","Photo Editing","Utilities","Video Production",7112,17,13
"546","My Super Tower 2","Adventure","Indie","Strategy",7096,38,26
"547","Dragon Age: Origins","RPG",NA,NA,7089,6207,468
"548","Distant Space","Action","Adventure","Casual",7052,143,40
"549","Time Clickers","Action","Casual","Free to Play",7003,3850,494
"550","Farm Together","Casual","Indie","Simulation",6998,4022,407
"551","Pixel Puzzles 2: RADical ROACH","Action","Casual","Indie",6981,36,13
"552","Are You Ready?","Action","Casual","Indie",6978,6,3
"553","BLOCKADE 3D","Action","Free to Play","Early Access",6968,15821,11583
"554","Eco","Indie","Simulation","Early Access",6964,1875,639
"555","PIGMENTUM","Casual","Indie",NA,6946,84,91
"556","State of Anarchy","Action","Casual","Indie",6944,795,144
"557","Heaven Island Life","Indie","Simulation",NA,6885,362,316
"558","Hotline Miami","Action","Indie",NA,6878,45809,1211
"559","Breathedge","Adventure","Early Access",NA,6857,2867,229
"560","Nation Red","Action","Indie",NA,6850,2093,272
"561","NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution","Action","Adventure",NA,6831,4152,995
"562","Stormworks: Build and Rescue","Simulation","Early Access",NA,6820,1478,171
"563","Insanity Clicker","Adventure","Casual","Free to Play",6819,1475,751
"564","Elves Adventure","Action","Adventure",NA,6784,40,105
"565","Tapocalypse","Indie","Racing","RPG",6778,55,32
"566","Project CARS 2","Racing",NA,NA,6775,4190,1747
"567","Transistor","Action","Indie","RPG",6727,22158,1162
"568","Existentia","Adventure","Indie",NA,6722,53,51
"569","U-Boats","Action","Indie",NA,6716,5,6
"570","Fishing Planet","Free to Play","Massively Multiplayer","Simulation",6709,10585,3330
"571","Die for the Empire","Action",NA,NA,6703,5,15
"572","Planetbase","Indie","Simulation","Strategy",6670,4171,1267
